Property Name,Location,Price,Price per sqft,Area,BHK,Type,Posted Time,Posted By,Property URL,Image URL,Page
Signature Global Park,"Sohna, Gurgaon",10000000,8482,"1,120 sqft",3 BHK,Ready To Move,Dealer?6d ago,Global PARK REALTORS,https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-signature-global-park-sohna-gurgaon-1120-sq-ft-spid-Q78370033,N/A,page_22.html
"Vatika Independent floor, sector 83","Sector 83, Gurgaon",10000000,10752,930 sqft,2 BHK,Ready To Move,Dealer?3w ago,Griha Siddhi Estate,https://www.99acres.com/2-bhk-bedroom-independent-builder-floor-for-sale-in-sector-83-gurgaon-930-sq-ft-spid-R80824195,N/A,page_22.html
Antriksh Heights,"Sector 84, Gurgaon",9000000,7500,"1,200 sqft",2 BHK,Ready To Move,Dealer?2d ago,Expert Landbase,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-antriksh-heights-sector-84-gurgaon-1200-sq-ft-spid-X81260433,N/A,page_22.html
Signature Global Park 4,"Sector 36 Sohna, Gurgaon",9720000,8991,"1,081 sqft",3 BHK,Ready To Move,N/A,DEVANSHI REALTECH,https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-signature-global-park-4-sector-36-sohna-gurgaon-1081-sq-ft-spid-X80153087,N/A,page_22.html
Signature Global Grand IVA,"Sector 103, Gurgaon",9100000,13963,644 sqft,3 BHK,Ready To Move,Dealer?1mo ago,YUVAN ESTATE,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-signature-global-grand-iva-sector-103-gurgaon-645-sq-ft-spid-X80100821,N/A,page_22.html
Suncity Avenue 76,"Sector 76, Gurgaon",8800000,14047,626 sqft,2 BHK,Ready To Move,Dealer?1mo ago,CYBER HEIGHTS PROPERTIES,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-suncity-avenue-76-sector-76-gurgaon-626-sq-ft-spid-U80388195,N/A,page_22.html
Suncity Avenue 76,"Sector 76, Gurgaon",8600000,14768,582 sqft,2 BHK,Ready To Move,Dealer?1mo ago,CYBER HEIGHTS PROPERTIES,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-suncity-avenue-76-sector-76-gurgaon-582-sq-ft-spid-O80387917,N/A,page_22.html
Suncity Avenue 76,"Sector 76, Gurgaon",9000000,15455,582 sqft,2 BHK,Ready To Move,Dealer?1mo ago,CYBER HEIGHTS PROPERTIES,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-suncity-avenue-76-sector-76-gurgaon-582-sq-ft-spid-N80388751,N/A,page_22.html
Suncity Avenue 76,"Sector 76, Gurgaon",9100000,14639,621 sqft,2 BHK,Ready To Move,Dealer?1mo ago,CYBER HEIGHTS PROPERTIES,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-suncity-avenue-76-sector-76-gurgaon-621-sq-ft-spid-M80389029,N/A,page_22.html
Vatika Independent Floors,"Sector 82, Gurgaon",9800000,10537,930 sqft,2 BHK,Ready To Move,N/A,RK Realty,https://www.99acres.com/2-bhk-bedroom-independent-builder-floor-for-sale-in-vatika-independent-floors-sector-82-gurgaon-930-sq-ft-spid-X79272125,N/A,page_23.html
Green Court,"Sector 90, Gurgaon",7600000,11014,690 sqft,2 BHK,Ready To Move,N/A,The Realty Streert,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-green-court-sector-90-gurgaon-690-sq-ft-spid-L80737579,N/A,page_23.html
"Anamika Enclave, Gurgaon","Anamika Enclave, Gurgaon",8500000,6296,"1,350 sqft",3 BHK,Under Construction,Dealer?4d ago,Shree Krishna Properties,https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-anamika-enclave-gurgaon-1350-sq-ft-spid-D81267401,N/A,page_23.html
MVN Athens,"Sohna, Gurgaon",8800000,8224,"1,070 sqft",4 BHK,Ready To Move,2w ago,Owner,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-mvn-athens-sohna-gurgaon-1070-sq-ft-spid-I80971515,N/A,page_23.html
SS Cendana Residences,"Sector 83, Gurgaon",18000000,12413,"1,450 sqft",3 BHK,Under Construction,Yesterday,Owner,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sector-83-gurgaon-1450-sq-ft-spid-V81334333,N/A,page_23.html
Cosmos Express 99,"Sector 99, Gurgaon",7800000,9811,795 sqft,1 BHK,Ready To Move,Dealer?2d ago,Xpress Realty,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-cosmos-express-99-sector-99-gurgaon-795-sq-ft-spid-T79943147,N/A,page_23.html
Pyramid Urban Homes,"Sector 70A, Gurgaon",8500000,16966,501 sqft,2 BHK,Ready To Move,Dealer?1w ago,SS COLLECTION,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-pyramid-urban-homes-sector-70a-gurgaon-501-sq-ft-spid-R79897709,N/A,page_23.html
Vatika Independent Floors,"Sector 82, Gurgaon",9500000,10215,930 sqft,2 BHK,Ready To Move,Dealer?4w ago,HITESH YADAV,https://www.99acres.com/2-bhk-bedroom-independent-builder-floor-for-sale-in-vatika-independent-floors-sector-82-gurgaon-930-sq-ft-spid-L80673615,N/A,page_23.html
"Sector 4, Gurgaon","Sector 4, Gurgaon",8520000,6553,"1,300 sqft",3 BHK,Under Construction,Dealer?4d ago,Shree Krishna Properties,https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-sector-4-gurgaon-1300-sq-ft-spid-V81267327,N/A,page_23.html
Pyramid Urban,"Sector 67A, Gurgaon",8200000,13874,591 sqft,2 BHK,Ready To Move,Dealer?1w ago,SS Properties,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-pyramid-urban-sector-67a-gurgaon-591-sq-ft-spid-A81087085,N/A,page_23.html
merchant plaza,"Sector 88B, Gurgaon",10000000,14184,705 sqft,1 BHK,Ready To Move,2mo ago,Owner,https://www.99acres.com/studio-apartment-flat-for-sale-in-sector-88b-gurgaon-705-sq-ft-spid-D79957555,N/A,page_23.html
Mapsko Paradise,"Sector 83, Gurgaon",9950000,9476,"1,050 sqft",2 BHK,Ready To Move,N/A,Philby Real Estate,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-mapsko-paradise-sector-83-gurgaon-1050-sq-ft-spid-H81125991,N/A,page_23.html
Cosmos Express 99,"Sector 99, Gurgaon",8000000,10062,795 sqft,1 BHK,Ready To Move,N/A,Babbal Associates,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-cosmos-express-99-sector-99-gurgaon-795-sq-ft-spid-K81226489,N/A,page_23.html
Antriksh Heights,"Sector 84, Gurgaon",9000000,7083,"1,200 sqft",2 BHK,Ready To Move,N/A,Zupita Homes,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-antriksh-heights-sector-84-gurgaon-1200-sq-ft-r1-spid-V79363689,N/A,page_23.html
Pyramid Urban,"Sector 67A, Gurgaon",8300000,14043,591 sqft,2 BHK,Ready To Move,Dealer?1w ago,SS Properties,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-pyramid-urban-sector-67a-gurgaon-591-sq-ft-spid-T81086771,N/A,page_23.html
Signature Andour Heights,"Sector 71, Gurgaon",8500000,15714,540 sqft,2 BHK,Under Construction,Dealer?2d ago,PropertyClick,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-signature-andour-heights-sector-71-gurgaon-541-sq-ft-spid-K81273287,N/A,page_23.html
Signature Global Park,"Sohna, Gurgaon",10000000,8482,"1,120 sqft",3 BHK,Ready To Move,Dealer?6d ago,Global PARK REALTORS,https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-signature-global-park-sohna-gurgaon-1120-sq-ft-spid-Q78370033,N/A,page_23.html
"Vatika Independent floor, sector 83","Sector 83, Gurgaon",10000000,10752,930 sqft,2 BHK,Ready To Move,Dealer?3w ago,Griha Siddhi Estate,https://www.99acres.com/2-bhk-bedroom-independent-builder-floor-for-sale-in-sector-83-gurgaon-930-sq-ft-spid-R80824195,N/A,page_23.html
Antriksh Heights,"Sector 84, Gurgaon",9000000,7500,"1,200 sqft",2 BHK,Ready To Move,Dealer?2d ago,Expert Landbase,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-antriksh-heights-sector-84-gurgaon-1200-sq-ft-spid-X81260433,N/A,page_23.html
Signature Global Park 4,"Sector 36 Sohna, Gurgaon",9720000,8991,"1,081 sqft",3 BHK,Ready To Move,N/A,DEVANSHI REALTECH,https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-signature-global-park-4-sector-36-sohna-gurgaon-1081-sq-ft-spid-X80153087,N/A,page_23.html
Signature Global Grand IVA,"Sector 103, Gurgaon",9100000,13963,644 sqft,3 BHK,Ready To Move,Dealer?1mo ago,YUVAN ESTATE,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-signature-global-grand-iva-sector-103-gurgaon-645-sq-ft-spid-X80100821,N/A,page_23.html
Suncity Avenue 76,"Sector 76, Gurgaon",8800000,14047,626 sqft,2 BHK,Ready To Move,Dealer?1mo ago,CYBER HEIGHTS PROPERTIES,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-suncity-avenue-76-sector-76-gurgaon-626-sq-ft-spid-U80388195,N/A,page_23.html
Suncity Avenue 76,"Sector 76, Gurgaon",8600000,14768,582 sqft,2 BHK,Ready To Move,Dealer?1mo ago,CYBER HEIGHTS PROPERTIES,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-suncity-avenue-76-sector-76-gurgaon-582-sq-ft-spid-O80387917,N/A,page_23.html
Suncity Avenue 76,"Sector 76, Gurgaon",9000000,15455,582 sqft,2 BHK,Ready To Move,Dealer?1mo ago,CYBER HEIGHTS PROPERTIES,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-suncity-avenue-76-sector-76-gurgaon-582-sq-ft-spid-N80388751,N/A,page_23.html
Suncity Avenue 76,"Sector 76, Gurgaon",9100000,14639,621 sqft,2 BHK,Ready To Move,Dealer?1mo ago,CYBER HEIGHTS PROPERTIES,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-suncity-avenue-76-sector-76-gurgaon-621-sq-ft-spid-M80389029,N/A,page_23.html
Vatika Independent Floors,"Sector 82, Gurgaon",9800000,10537,930 sqft,2 BHK,Ready To Move,N/A,RK Realty,https://www.99acres.com/2-bhk-bedroom-independent-builder-floor-for-sale-in-vatika-independent-floors-sector-82-gurgaon-930-sq-ft-spid-X79272125,N/A,page_24.html
SS Cendana Residences,"Sector 83, Gurgaon",18000000,12413,"1,450 sqft",3 BHK,Under Construction,Yesterday,Owner,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sector-83-gurgaon-1450-sq-ft-spid-V81334333,N/A,page_24.html
Green Court,"Sector 90, Gurgaon",7600000,11014,690 sqft,2 BHK,Ready To Move,N/A,The Realty Streert,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-green-court-sector-90-gurgaon-690-sq-ft-spid-L80737579,N/A,page_24.html
"Anamika Enclave, Gurgaon","Anamika Enclave, Gurgaon",8500000,6296,"1,350 sqft",3 BHK,Under Construction,Dealer?4d ago,Shree Krishna Properties,https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-anamika-enclave-gurgaon-1350-sq-ft-spid-D81267401,N/A,page_24.html
MVN Athens,"Sohna, Gurgaon",8800000,8224,"1,070 sqft",4 BHK,Ready To Move,2w ago,Owner,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-mvn-athens-sohna-gurgaon-1070-sq-ft-spid-I80971515,N/A,page_24.html
Cosmos Express 99,"Sector 99, Gurgaon",7800000,9811,795 sqft,1 BHK,Ready To Move,Dealer?2d ago,Xpress Realty,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-cosmos-express-99-sector-99-gurgaon-795-sq-ft-spid-T79943147,N/A,page_24.html
Pyramid Urban Homes,"Sector 70A, Gurgaon",8500000,16966,501 sqft,2 BHK,Ready To Move,Dealer?1w ago,SS COLLECTION,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-pyramid-urban-homes-sector-70a-gurgaon-501-sq-ft-spid-R79897709,N/A,page_24.html
Vatika Independent Floors,"Sector 82, Gurgaon",9500000,10215,930 sqft,2 BHK,Ready To Move,Dealer?4w ago,HITESH YADAV,https://www.99acres.com/2-bhk-bedroom-independent-builder-floor-for-sale-in-vatika-independent-floors-sector-82-gurgaon-930-sq-ft-spid-L80673615,N/A,page_24.html
"Sector 4, Gurgaon","Sector 4, Gurgaon",8520000,6553,"1,300 sqft",3 BHK,Under Construction,Dealer?4d ago,Shree Krishna Properties,https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-sector-4-gurgaon-1300-sq-ft-spid-V81267327,N/A,page_24.html
Pyramid Urban,"Sector 67A, Gurgaon",8200000,13874,591 sqft,2 BHK,Ready To Move,Dealer?1w ago,SS Properties,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-pyramid-urban-sector-67a-gurgaon-591-sq-ft-spid-A81087085,N/A,page_24.html
merchant plaza,"Sector 88B, Gurgaon",10000000,14184,705 sqft,1 BHK,Ready To Move,2mo ago,Owner,https://www.99acres.com/studio-apartment-flat-for-sale-in-sector-88b-gurgaon-705-sq-ft-spid-D79957555,N/A,page_24.html
Mapsko Paradise,"Sector 83, Gurgaon",9950000,9476,"1,050 sqft",2 BHK,Ready To Move,N/A,Philby Real Estate,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-mapsko-paradise-sector-83-gurgaon-1050-sq-ft-spid-H81125991,N/A,page_24.html
Cosmos Express 99,"Sector 99, Gurgaon",8000000,10062,795 sqft,1 BHK,Ready To Move,N/A,Babbal Associates,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-cosmos-express-99-sector-99-gurgaon-795-sq-ft-spid-K81226489,N/A,page_24.html
Antriksh Heights,"Sector 84, Gurgaon",9000000,7083,"1,200 sqft",2 BHK,Ready To Move,N/A,Zupita Homes,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-antriksh-heights-sector-84-gurgaon-1200-sq-ft-r1-spid-V79363689,N/A,page_24.html
Pyramid Urban,"Sector 67A, Gurgaon",8300000,14043,591 sqft,2 BHK,Ready To Move,Dealer?1w ago,SS Properties,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-pyramid-urban-sector-67a-gurgaon-591-sq-ft-spid-T81086771,N/A,page_24.html
Signature Andour Heights,"Sector 71, Gurgaon",8500000,15714,540 sqft,2 BHK,Under Construction,Dealer?2d ago,PropertyClick,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-signature-andour-heights-sector-71-gurgaon-541-sq-ft-spid-K81273287,N/A,page_24.html
Signature Global Park,"Sohna, Gurgaon",10000000,8482,"1,120 sqft",3 BHK,Ready To Move,Dealer?6d ago,Global PARK REALTORS,https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-signature-global-park-sohna-gurgaon-1120-sq-ft-spid-Q78370033,N/A,page_24.html
"Vatika Independent floor, sector 83","Sector 83, Gurgaon",10000000,10752,930 sqft,2 BHK,Ready To Move,Dealer?3w ago,Griha Siddhi Estate,https://www.99acres.com/2-bhk-bedroom-independent-builder-floor-for-sale-in-sector-83-gurgaon-930-sq-ft-spid-R80824195,N/A,page_24.html
Antriksh Heights,"Sector 84, Gurgaon",9000000,7500,"1,200 sqft",2 BHK,Ready To Move,Dealer?2d ago,Expert Landbase,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-antriksh-heights-sector-84-gurgaon-1200-sq-ft-spid-X81260433,N/A,page_24.html
Signature Global Park 4,"Sector 36 Sohna, Gurgaon",9720000,8991,"1,081 sqft",3 BHK,Ready To Move,N/A,DEVANSHI REALTECH,https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-signature-global-park-4-sector-36-sohna-gurgaon-1081-sq-ft-spid-X80153087,N/A,page_24.html
Signature Global Grand IVA,"Sector 103, Gurgaon",9100000,13963,644 sqft,3 BHK,Ready To Move,Dealer?1mo ago,YUVAN ESTATE,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-signature-global-grand-iva-sector-103-gurgaon-645-sq-ft-spid-X80100821,N/A,page_24.html
Suncity Avenue 76,"Sector 76, Gurgaon",8800000,14047,626 sqft,2 BHK,Ready To Move,Dealer?1mo ago,CYBER HEIGHTS PROPERTIES,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-suncity-avenue-76-sector-76-gurgaon-626-sq-ft-spid-U80388195,N/A,page_24.html
Suncity Avenue 76,"Sector 76, Gurgaon",8600000,14768,582 sqft,2 BHK,Ready To Move,Dealer?1mo ago,CYBER HEIGHTS PROPERTIES,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-suncity-avenue-76-sector-76-gurgaon-582-sq-ft-spid-O80387917,N/A,page_24.html
Suncity Avenue 76,"Sector 76, Gurgaon",9000000,15455,582 sqft,2 BHK,Ready To Move,Dealer?1mo ago,CYBER HEIGHTS PROPERTIES,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-suncity-avenue-76-sector-76-gurgaon-582-sq-ft-spid-N80388751,N/A,page_24.html
Suncity Avenue 76,"Sector 76, Gurgaon",9100000,14639,621 sqft,2 BHK,Ready To Move,Dealer?1mo ago,CYBER HEIGHTS PROPERTIES,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-suncity-avenue-76-sector-76-gurgaon-621-sq-ft-spid-M80389029,N/A,page_24.html
Vatika Independent Floors,"Sector 82, Gurgaon",9800000,10537,930 sqft,2 BHK,Ready To Move,N/A,RK Realty,https://www.99acres.com/2-bhk-bedroom-independent-builder-floor-for-sale-in-vatika-independent-floors-sector-82-gurgaon-930-sq-ft-spid-X79272125,N/A,page_25.html
Green Court,"Sector 90, Gurgaon",7600000,11014,690 sqft,2 BHK,Ready To Move,N/A,The Realty Streert,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-green-court-sector-90-gurgaon-690-sq-ft-spid-L80737579,N/A,page_25.html
"Anamika Enclave, Gurgaon","Anamika Enclave, Gurgaon",8500000,6296,"1,350 sqft",3 BHK,Under Construction,Dealer?4d ago,Shree Krishna Properties,https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-anamika-enclave-gurgaon-1350-sq-ft-spid-D81267401,N/A,page_25.html
SS Cendana Residences,"Sector 83, Gurgaon",18000000,12413,"1,450 sqft",3 BHK,Under Construction,Yesterday,Owner,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sector-83-gurgaon-1450-sq-ft-spid-V81334333,N/A,page_25.html
MVN Athens,"Sohna, Gurgaon",8800000,8224,"1,070 sqft",4 BHK,Ready To Move,2w ago,Owner,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-mvn-athens-sohna-gurgaon-1070-sq-ft-spid-I80971515,N/A,page_25.html
Cosmos Express 99,"Sector 99, Gurgaon",7800000,9811,795 sqft,1 BHK,Ready To Move,Dealer?2d ago,Xpress Realty,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-cosmos-express-99-sector-99-gurgaon-795-sq-ft-spid-T79943147,N/A,page_25.html
Pyramid Urban Homes,"Sector 70A, Gurgaon",8500000,16966,501 sqft,2 BHK,Ready To Move,Dealer?1w ago,SS COLLECTION,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-pyramid-urban-homes-sector-70a-gurgaon-501-sq-ft-spid-R79897709,N/A,page_25.html
Vatika Independent Floors,"Sector 82, Gurgaon",9500000,10215,930 sqft,2 BHK,Ready To Move,Dealer?4w ago,HITESH YADAV,https://www.99acres.com/2-bhk-bedroom-independent-builder-floor-for-sale-in-vatika-independent-floors-sector-82-gurgaon-930-sq-ft-spid-L80673615,N/A,page_25.html
"Sector 4, Gurgaon","Sector 4, Gurgaon",8520000,6553,"1,300 sqft",3 BHK,Under Construction,Dealer?4d ago,Shree Krishna Properties,https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-sector-4-gurgaon-1300-sq-ft-spid-V81267327,N/A,page_25.html
Pyramid Urban,"Sector 67A, Gurgaon",8200000,13874,591 sqft,2 BHK,Ready To Move,Dealer?1w ago,SS Properties,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-pyramid-urban-sector-67a-gurgaon-591-sq-ft-spid-A81087085,N/A,page_25.html
merchant plaza,"Sector 88B, Gurgaon",10000000,14184,705 sqft,1 BHK,Ready To Move,2mo ago,Owner,https://www.99acres.com/studio-apartment-flat-for-sale-in-sector-88b-gurgaon-705-sq-ft-spid-D79957555,N/A,page_25.html
Mapsko Paradise,"Sector 83, Gurgaon",9950000,9476,"1,050 sqft",2 BHK,Ready To Move,N/A,Philby Real Estate,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-mapsko-paradise-sector-83-gurgaon-1050-sq-ft-spid-H81125991,N/A,page_25.html
Cosmos Express 99,"Sector 99, Gurgaon",8000000,10062,795 sqft,1 BHK,Ready To Move,N/A,Babbal Associates,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-cosmos-express-99-sector-99-gurgaon-795-sq-ft-spid-K81226489,N/A,page_25.html
Antriksh Heights,"Sector 84, Gurgaon",9000000,7083,"1,200 sqft",2 BHK,Ready To Move,N/A,Zupita Homes,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-antriksh-heights-sector-84-gurgaon-1200-sq-ft-r1-spid-V79363689,N/A,page_25.html
Pyramid Urban,"Sector 67A, Gurgaon",8300000,14043,591 sqft,2 BHK,Ready To Move,Dealer?1w ago,SS Properties,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-pyramid-urban-sector-67a-gurgaon-591-sq-ft-spid-T81086771,N/A,page_25.html
Signature Andour Heights,"Sector 71, Gurgaon",8500000,15714,540 sqft,2 BHK,Under Construction,Dealer?2d ago,PropertyClick,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-signature-andour-heights-sector-71-gurgaon-541-sq-ft-spid-K81273287,N/A,page_25.html
Signature Global Park,"Sohna, Gurgaon",10000000,8482,"1,120 sqft",3 BHK,Ready To Move,Dealer?6d ago,Global PARK REALTORS,https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-signature-global-park-sohna-gurgaon-1120-sq-ft-spid-Q78370033,N/A,page_25.html
"Vatika Independent floor, sector 83","Sector 83, Gurgaon",10000000,10752,930 sqft,2 BHK,Ready To Move,Dealer?3w ago,Griha Siddhi Estate,https://www.99acres.com/2-bhk-bedroom-independent-builder-floor-for-sale-in-sector-83-gurgaon-930-sq-ft-spid-R80824195,N/A,page_25.html
Antriksh Heights,"Sector 84, Gurgaon",9000000,7500,"1,200 sqft",2 BHK,Ready To Move,Dealer?2d ago,Expert Landbase,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-antriksh-heights-sector-84-gurgaon-1200-sq-ft-spid-X81260433,N/A,page_25.html
Signature Global Park 4,"Sector 36 Sohna, Gurgaon",9720000,8991,"1,081 sqft",3 BHK,Ready To Move,N/A,DEVANSHI REALTECH,https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-signature-global-park-4-sector-36-sohna-gurgaon-1081-sq-ft-spid-X80153087,N/A,page_25.html
Signature Global Grand IVA,"Sector 103, Gurgaon",9100000,13963,644 sqft,3 BHK,Ready To Move,Dealer?1mo ago,YUVAN ESTATE,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-signature-global-grand-iva-sector-103-gurgaon-645-sq-ft-spid-X80100821,N/A,page_25.html
Suncity Avenue 76,"Sector 76, Gurgaon",8800000,14047,626 sqft,2 BHK,Ready To Move,Dealer?1mo ago,CYBER HEIGHTS PROPERTIES,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-suncity-avenue-76-sector-76-gurgaon-626-sq-ft-spid-U80388195,N/A,page_25.html
Suncity Avenue 76,"Sector 76, Gurgaon",8600000,14768,582 sqft,2 BHK,Ready To Move,Dealer?1mo ago,CYBER HEIGHTS PROPERTIES,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-suncity-avenue-76-sector-76-gurgaon-582-sq-ft-spid-O80387917,N/A,page_25.html
Suncity Avenue 76,"Sector 76, Gurgaon",9000000,15455,582 sqft,2 BHK,Ready To Move,Dealer?1mo ago,CYBER HEIGHTS PROPERTIES,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-suncity-avenue-76-sector-76-gurgaon-582-sq-ft-spid-N80388751,N/A,page_25.html
Suncity Avenue 76,"Sector 76, Gurgaon",9100000,14639,621 sqft,2 BHK,Ready To Move,Dealer?1mo ago,CYBER HEIGHTS PROPERTIES,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-suncity-avenue-76-sector-76-gurgaon-621-sq-ft-spid-M80389029,N/A,page_25.html
Vatika Independent Floors,"Sector 82, Gurgaon",9800000,10537,930 sqft,2 BHK,Ready To Move,N/A,RK Realty,https://www.99acres.com/2-bhk-bedroom-independent-builder-floor-for-sale-in-vatika-independent-floors-sector-82-gurgaon-930-sq-ft-spid-X79272125,N/A,page_26.html
Green Court,"Sector 90, Gurgaon",7600000,11014,690 sqft,2 BHK,Ready To Move,N/A,The Realty Streert,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-green-court-sector-90-gurgaon-690-sq-ft-spid-L80737579,N/A,page_26.html
"Anamika Enclave, Gurgaon","Anamika Enclave, Gurgaon",8500000,6296,"1,350 sqft",3 BHK,Under Construction,Dealer?4d ago,Shree Krishna Properties,https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-anamika-enclave-gurgaon-1350-sq-ft-spid-D81267401,N/A,page_26.html
MVN Athens,"Sohna, Gurgaon",8800000,8224,"1,070 sqft",4 BHK,Ready To Move,2w ago,Owner,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-mvn-athens-sohna-gurgaon-1070-sq-ft-spid-I80971515,N/A,page_26.html
SS Cendana Residences,"Sector 83, Gurgaon",18000000,12413,"1,450 sqft",3 BHK,Under Construction,Yesterday,Owner,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sector-83-gurgaon-1450-sq-ft-spid-V81334333,N/A,page_26.html
Cosmos Express 99,"Sector 99, Gurgaon",7800000,9811,795 sqft,1 BHK,Ready To Move,Dealer?2d ago,Xpress Realty,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-cosmos-express-99-sector-99-gurgaon-795-sq-ft-spid-T79943147,N/A,page_26.html
Pyramid Urban Homes,"Sector 70A, Gurgaon",8500000,16966,501 sqft,2 BHK,Ready To Move,Dealer?1w ago,SS COLLECTION,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-pyramid-urban-homes-sector-70a-gurgaon-501-sq-ft-spid-R79897709,N/A,page_26.html
Vatika Independent Floors,"Sector 82, Gurgaon",9500000,10215,930 sqft,2 BHK,Ready To Move,Dealer?4w ago,HITESH YADAV,https://www.99acres.com/2-bhk-bedroom-independent-builder-floor-for-sale-in-vatika-independent-floors-sector-82-gurgaon-930-sq-ft-spid-L80673615,N/A,page_26.html
